,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,target
0,38.526463736522345,4,151238.12935313262,12,14.0,4,10,1,4,1,103902.959066354,-0.1442410871847723,50.30359659148484,39,0
1,15.484543334701542,4,187051.5503685682,1,7.0,4,12,3,4,1,21.74354732079952,-0.6380872098382289,40.014048808480034,39,1
2,41.063259926978915,4,213314.279552633,11,9.0,0,4,1,4,1,8.511176836854618,0.29669409462839763,19.18870934972761,39,1
3,45.633899787671595,4,191405.52749942208,11,10.0,2,12,0,4,1,-1.5600825492322854,0.4551535204836224,50.820805621713696,39,1
4,25.365566060865252,4,33907.22561573981,11,9.0,0,7,1,4,0,16.411460429006446,-1.1578598942791023,25.253938760465793,39,1
5,31.697908047627042,4,158471.59341783365,11,9.0,3,8,1,4,0,10.301177800288785,-0.8318372753488364,29.615476288969376,31,1
6,30.505585429004277,4,505319.8510967179,4,8.0,4,8,2,4,1,24.308462339285946,0.41941357049556,36.162716201032985,39,1
7,40.166539375032,2,135425.89599027464,15,10.0,0,13,4,4,0,21.257187849881433,0.6395152299327792,39.97858184977719,39,1
8,26.524383965220075,4,333569.9277488062,11,9.0,4,8,1,4,0,-6.0652439643553855,-0.14078082519887025,23.332150888569505,39,1
9,44.20158135179448,4,438293.91204090207,8,11.0,0,7,4,4,1,20.89680337154846,-0.5615333525361101,30.01074726800368,39,1
10,37.022098834691306,7,172868.35110111313,15,10.0,2,11,0,4,1,13.883600935703086,-0.04298040880773523,76.00717303849657,39,0
11,29.985242248104974,4,186943.53318006868,15,10.0,2,13,0,4,1,5.219660528933997,-0.015580173135275637,39.954205419410656,39,1
12,38.410653057882996,5,190669.26668104745,11,9.0,2,4,0,4,1,-5.975926620877637,0.1987442997101353,48.96767840008241,39,0
13,23.799578087868824,2,90236.2019867997,15,9.0,4,8,3,4,1,-5.835621723550291,0.2415090915852332,39.99695606063505,39,1
14,39.79932009024998,4,245246.71492861927,11,9.0,2,4,0,4,1,-13.175621000421339,-0.11133134090330524,44.77923583844745,39,0
15,33.44966468969611,4,354325.88349856244,1,12.0,2,3,0,4,1,4.3997254696632675,-0.8947035285859346,45.21390113195573,39,1
16,20.969266396937055,4,280768.5304382772,7,10.0,4,1,1,4,0,-1.3634625374017875,0.5400696989441188,35.820101012266484,39,1
17,49.0592836433305,6,199291.38815648013,12,14.0,4,10,0,4,1,-16.62594291268769,0.09320208715515611,39.94444486045992,39,0
18,22.307156917087244,4,225212.96197534015,15,7.0,4,12,3,4,1,9.080338032634872,-0.572752697329194,48.7081825670251,39,1
19,36.05969610037568,6,40657.900964670574,11,9.0,4,11,1,4,1,17.50148809199766,-0.6440688440941311,59.9440821568528,39,1
20,26.146809241822275,5,36121.36660695256,11,9.0,0,5,1,4,1,5.763785240025785,-0.3470504217599821,44.00381132267378,39,1
21,37.8395176442192,4,290912.534059711,15,10.0,2,8,2,4,0,4.340887820840209,-0.4652038030863871,40.050076090535605,39,1
22,34.20508429383016,6,36083.07406772732,12,11.0,0,8,1,4,0,-10.29602526316631,-0.4453665397313761,51.03104609357306,39,1
23,40.869820254473076,4,175924.37703792946,11,9.0,2,6,0,4,1,-12.553130617460665,0.4312760524657309,50.954325175176706,39,1
24,41.123990180601666,6,122134.75337976306,11,9.0,2,3,0,4,1,-0.29407751412611843,-1.0720823739277585,44.32084523435595,39,1
25,22.274119447468728,4,191035.20969881155,9,13.0,2,12,0,4,1,14.22741573223838,-0.065121031951017,50.54542233358412,39,1
26,20.465547119840085,4,178112.29462793935,9,13.0,4,1,3,4,0,4.871182624791556,-1.5197849063829285,40.026384248248505,39,1
27,24.534545292078278,4,178718.715821124,11,9.0,4,1,2,4,1,4.339481461537986,-0.5127436670785371,60.37016582480006,39,1
28,39.72528693671177,4,186640.28837080338,11,9.0,4,12,1,4,0,15.944739060181798,-0.5742246535854455,39.93375215573155,39,1
29,45.22925755486565,4,308967.64138465724,14,15.0,2,4,0,4,1,-5.937216461721119,0.01903799259925042,50.36733806295834,39,0
30,19.864369101412052,4,153205.7253634214,15,10.0,4,12,3,4,1,-3.155580997310804,0.16427503192266027,30.126545433587044,39,1
31,40.47507446405418,4,212394.10724586184,11,9.0,0,6,1,4,1,4.356884826339602,-0.6890611637813102,39.96303916867028,39,1
32,33.89988655468444,4,148189.7092977104,15,10.0,4,8,3,4,1,10.842712603378517,-0.5369671812301924,10.649654773673566,39,1
33,40.22454897702593,4,217065.94042493842,11,9.0,2,4,0,4,1,-16.972366715276678,-0.5800164480316474,49.16953474916829,39,0
34,47.00442852066059,4,185550.81832537949,11,9.0,2,12,0,4,1,-6.413191897565,-0.008284036675457383,49.16946144713929,39,1
